name,temp,feelslike,dew,humidity,precip,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,uvindex,conditions,description,icon
Amritsar,24.2,25.0,11.4,54,0.0,10.0,8.3,67.5,1007.0,25,5.0,1.7,Mist,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png
Amritsar,24.2,25.0,11.4,54,0.0,10.0,8.3,67.5,1007.0,25,5.0,1.7,Mist,Mist,//cdn.weatherapi.com/weather/64x64/day/143.png
Amritsar,21.1,21.1,12.6,69,0.0,17.7,9.7,67.5,1006.0,25,4.0,0.5,Overcast,Overcast,//cdn.weatherapi.com/weather/64x64/day/122.png
